
Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2014-05-16T08:27:14PDT



Main Information Table for Searching NED within 75.000 arcmin of 48.563938, -67.592281



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA(deg)|DEC(deg)|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Distance (arcmin)|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
50|GALEXASC J031502.40-673326.8  | 48.76001 | -67.55746 |UvS||||     |  4.950|0|0|3|0|0|0|0
51|GALEXASC J031449.05-673920.0  | 48.70461 | -67.65521 |G||||18.7r|  4.958|0|0|4|0|0|0|0
52|SUMSS J031504-673704| 48.77033 | -67.61778 |RadioS|||| 1.12|  4.960|1|0|2|0|0|0|0
53|GALEXASC J031438.94-673958.9  | 48.66228 | -67.66638 |UvS||||     |  4.981|0|0|4|0|0|0|0
54|GALEXASC J031453.84-673210.1  | 48.72434 | -67.53617 |UvS||||     |  4.983|0|0|4|0|0|0|0
55|GALEXASC J031435.83-674009.2  | 48.64930 | -67.66924 |UvS||||     |  5.012|0|0|4|0|0|0|0
56|GALEXASC J031322.37-673547.3  | 48.34321 | -67.59648 |UvS||||     |  5.054|0|0|4|0|0|0|0
57|2MASX J03145943-6732407| 48.74792 | -67.54467 |G||||     |  5.090|0|0|13|0|0|2|0
58|GALEXASC J031450.45-673931.3  | 48.71025 | -67.65871 |UvS||||     |  5.201|0|0|4|0|0|0|0
59|SUMSS J031329-673825| 48.37188 | -67.64061 |RadioS|||| 1.69|  5.260|1|0|2|0|0|0|0
60|GALEXASC J031404.61-674046.0  | 48.51948 | -67.67907 |G||||19.2r|  5.305|0|0|4|0|0|0|0
61|GALEXASC J031328.63-673827.1  | 48.36931 | -67.64088 |UvS||||     |  5.318|0|0|4|0|0|0|0
62|GALEXASC J031337.83-673135.9  | 48.40767 | -67.52666 |UvS||||     |  5.321|0|0|4|0|0|0|0
63|GALEXASC J031508.09-673719.8  | 48.78448 | -67.62190 |G||||19.7r|  5.345|0|0|4|0|0|0|0
64|GALEXASC J031324.12-673320.3  | 48.35051 | -67.55566 |UvS||||     |  5.357|0|0|4|0|0|0|0
65|2MASX J03133340-6731553| 48.38942 | -67.53222 |G||||17.5r|  5.381|0|0|8|0|0|2|0
66|GALEXASC J031348.07-673048.9  | 48.45031 | -67.51360 |UvS||||     |  5.391|0|0|4|0|0|0|0
67|MRSS 054-129057| 48.32232 | -67.59975 |G||||19.2r|  5.543|0|0|0|0|0|0|0
68|MRSS 054-128875| 48.33423 | -67.62278 |G||||18.9r|  5.560|0|0|0|0|0|0|0
69|GALEXASC J031430.54-674054.9  | 48.62725 | -67.68192 |UvS||||     |  5.569|0|0|3|0|0|0|0
70|GALEXASC J031326.97-673839.7  | 48.36477 | -67.64593 |G||||18.8r|  5.574|0|0|4|0|0|0|0
71|MRSS 054-123014| 48.78225 | -67.63435 |G||||19.5r|  5.591|0|0|0|0|0|0|0
